年月日,平均気温(℃),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),平均蒸気圧(hPa),平均湿度(％),平均現地気圧(hPa),平均海面気圧(hPa),最低海面気圧(hPa),最小相対湿度(％),日照時間(時間),合計全天日射量(MJ/㎡),降水量の合計(mm),10分間降水量の最大(mm),最高気温(℃),最低気温(℃),最深積雪(cm),降雪量合計(cm),平均風速(m/s),最大風速(m/s),最大風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最多風向(16方位)
2022/11/19,6.9,晴,晴後曇一時雨,7.3,75,1019.6,1025,1020.2,47,8.6,9.95,0,0,12,2.7,0,0,3.1,6.6,北西,11,北西,北西
2022/11/20,10.8,晴時々曇,曇一時晴後雨,9.7,75,1019.3,1024.7,1021.1,57,3.8,7.27,0,0,14,3.4,0,0,5.2,9.2,東南東,14.4,南東,東南東
2022/11/21,12.6,晴一時雨,晴後雨時々曇,12.2,84,1011.8,1017,1013.8,69,3.8,6.52,0.5,0.5,16.4,8.3,0,0,2.4,5.2,東南東,7.1,東南東,南
2022/11/22,5.6,晴,晴,5.6,61,1015.2,1020.6,1013.7,40,5.4,7.65,1,0.5,11.8,-0.2,0,0,4.9,10.3,西北西,16.8,西,西北西
2022/11/23,4.9,曇時々晴,雨時々曇,6.3,71,1015.8,1021.3,1015.5,54,5.4,7.07,0,0,8.9,-1,0,0,3.2,6,東,9.7,東,東
2022/11/24,8.5,曇時々晴一時雨,晴,8.5,77,1009.4,1014.8,1012.8,52,3.1,6.57,0,0,12.9,2.3,0,0,3,6.1,北西,9.6,北西,西北西
2022/11/25,7.1,晴,曇後晴一時雨,6.8,68,1013.3,1018.7,1014.2,49,7.8,8.69,0,0,11.9,0.3,0,0,2.3,6.4,南南東,10.6,南,北北東
2022/11/26,10.8,雨後曇一時晴、雷を伴う,雨後曇時々晴,9.5,73,1002.6,1007.9,1005.1,53,1,2.75,8.5,2,15,4.8,0,0,4.8,10.1,南西,17.9,南西,西北西
2022/11/27,3.5,晴時々みぞれ後曇,曇一時雪後時々晴、みぞれを伴う,5.3,67,1013.4,1018.9,1010,54,2.5,5.75,0,0,5.3,2.4,0,0,4.7,8.1,西北西,12.8,西,西北西
2022/11/28,7.2,雨時々晴後曇、みぞれを伴う,曇一時雨,8,77,1018.5,1023.9,1017.8,68,1.4,4.56,0,0,10.9,1.4,0,0,2.2,5.2,東,7.6,東,東
2022/11/29,12.5,雨時々曇,雨後曇時々晴,11.6,79,1003.2,1008.5,1002.6,61,0.8,2.76,17.5,2,18.4,8.3,0,0,4,9.7,南西,16.5,西南西,南西
2022/11/30,1.7,曇時々雪一時晴、みぞれを伴う,雪時々曇,5.2,73,1006.9,1012.3,1006.7,55,0.2,2.99,3,0.5,8.4,-4,6,6,5.8,9.7,西北西,15.3,西北西,北西
2022/12/1,-3.1,雪時々曇,雪後一時晴,4.3,89,1013.4,1019,1016.6,72,1.8,5.75,10,1.5,-1.4,-4.7,20,17,4.6,9.5,西北西,16,西北西,西北西
2022/12/2,-3.5,晴後一時雪一時曇,曇時々雪一時晴,3.8,80,1017.9,1023.5,1018.6,51,8.2,9.23,2.5,1,-0.6,-8.1,23,3,2.6,6.1,西,8.5,西,北北西
2022/12/3,0.9,曇時々雪後みぞれ一時雨,みぞれ時々雨後曇一時雪,5.9,89,1013.8,1019.4,1012.3,70,0,2.36,11,1.5,4.2,-2.5,10,1,2.8,9.9,西,16.8,西,北
2022/12/4,-1.5,曇時々晴一時雪,雪時々晴一時曇,4,71,1012.8,1018.4,1013.1,56,3.3,6.27,0.5,0.5,3.4,-5.1,1,1,5,9.4,西北西,15.3,西北西,西北西
2022/12/5,-3.2,雪時々曇一時晴,曇一時雪後晴,3.7,78,1015.2,1020.8,1019.7,60,5.6,6.93,0,0,-0.8,-5.7,2,1,3.4,7.5,西,10.8,西南西,西北西
2022/12/6,-0.1,曇一時晴後一時雪,雪時々曇一時晴、みぞれを伴う,5,81,1009.7,1015.2,1012.1,58,0.4,3.98,0.5,0.5,2.8,-3.4,0,0,2,4,北西,5.5,北西,北北西
2022/12/7,0.4,曇時々雪一時晴後みぞれ,雪時々曇,5.6,89,1007.6,1013.1,1011.2,58,2,4.47,4.5,0.5,3.1,-1.8,3,7,2.6,6.9,西北西,12,西北西,西北西
2022/12/8,-0.6,晴時々雪後曇,曇時々晴一時雪,4.6,78,1011,1016.5,1013.5,50,5.3,7.61,3,1.5,2,-3.4,13,11,3.6,8.2,西北西,13.4,西北西,西北西
2022/12/9,-0.3,曇一時晴後雪時々みぞれ,曇時々雪一時みぞれ後晴,5.3,88,1013.7,1019.2,1017.3,64,3.1,6.59,1.5,1,2.5,-3.7,5,1,1.6,4.3,西北西,6.3,西北西,東北東
2022/12/10,0.2,晴時々雪後みぞれ一時雨,曇一時晴、みぞれを伴う,5.5,89,1011.5,1017.1,1016,65,4.9,6.6,2,1,4.4,-3.7,0,0,2,6.8,西,10.5,西北西,北
2022/12/11,-0.3,曇時々晴,曇時々晴,4.4,73,1011,1016.6,1014.6,54,3.8,4.77,0,0,3.3,-2.9,0,0,2.6,6,西,8.9,西北西,北西
2022/12/12,1.2,晴時々曇,曇,4.1,62,1016,1021.6,1018.4,37,5.7,7.97,0,0,4.4,-2.3,0,0,2.7,6.6,南南東,11.7,南南東,西北西
2022/12/13,5.1,雨時々曇一時晴,雨後曇時々雪、みぞれを伴う,6.7,77,1001.4,1006.8,1002.2,58,1.2,2.24,7,1,8.2,0.7,0,0,4.4,11,西,17.5,西,西北西
2022/12/14,-3.2,雪時々曇,雪,3.9,81,998.7,1004.2,1000.6,59,0.1,2.45,8,1,1.7,-6.5,12,12,5.5,11.3,西,17.2,西北西,西北西
2022/12/15,-4.1,雪,雪,4,89,1004.2,1009.8,1008.3,68,0,2.83,20.5,1,-3.1,-5.4,32,22,5.9,11.5,西,18.2,西,西北西
2022/12/16,-4.6,雪時々曇,雪,3.6,83,1009.3,1014.9,1010.7,57,2,5.16,4.5,1,-2.9,-5.6,33,10,4.9,10.6,西,17.7,西,西北西
2022/12/17,-2.7,雪時々晴後曇,雪後曇時々晴、みぞれを伴う,4.3,85,1008.3,1013.9,1001.2,68,2.6,5.34,8.5,1,1.2,-6.2,35,6,2.8,8.7,北西,11.8,北西,北北西
2022/12/18,-5,曇時々晴後雪,雪後時々曇一時晴,3.4,82,997.7,1003.2,1000.3,57,2.2,5.43,7.5,1,-1.7,-7.3,39,12,3.8,9.8,西北西,15.9,西北西,西北西
2022/12/19,-6.3,雪後晴一時曇,晴後雪時々曇,2.9,78,1007.1,1012.8,1006.3,58,7.2,8.5,1.5,1,-3.4,-9.1,41,2,3.3,7.4,西北西,12.3,西北西,西北西
2022/12/20,-4.1,雪時々曇,雪時々曇,3.9,86,1012,1017.6,1016,67,2.4,5.68,2.5,0.5,-1.8,-8.8,34,4,3.5,7.9,西北西,12.2,西,西北西
2022/12/21,-0.1,曇一時雪後一時晴,曇時々晴後雨,4.6,76,1011.9,1017.4,1012.9,59,3.2,6.28,0,0,3,-3.1,32,0,2.3,6,東,8.8,東,西北西
2022/12/22,5,雨時々曇,雨時々曇、みぞれを伴う,7.6,87,992.1,997.5,983.4,75,0,1.6,17.5,2.5,6.6,2.8,26,0,7.6,11.9,東,18.8,東北東,東
2022/12/23,3.3,曇一時雨、みぞれを伴う,曇後時々雪、みぞれを伴う,5.6,72,979.9,985.2,983.6,54,0,3.49,0.5,0.5,5,1.6,9,0,4.1,8.8,西北西,13.5,西,西
2022/12/24,2.9,雨後みぞれ時々曇,晴時々雪一時みぞれ後曇,5.8,78,986.5,991.8,984.3,59,3.6,5.21,4.5,1,5.4,0,8,5,5.7,10,北北西,15.4,北北西,北北西
2022/12/25,2.8,曇後晴一時みぞれ,曇時々みぞれ,5.2,70,996.6,1002,999.8,55,7.7,8.24,0,0,4.8,1.5,6,0,7,9.8,北西,15.3,北西,北西
2022/12/26,3.4,みぞれ時々曇一時雨後晴,晴一時雨、みぞれを伴う,6,77,1004.3,1009.8,1003.8,62,3.1,4.34,0,0,5.7,-0.6,4,0,5.5,8.5,北西,12.8,北西,北西
2022/12/27,2.3,晴時々曇,晴後曇一時雪,5.4,76,1013.8,1019.3,1014.9,53,4,6.18,0,0,6.3,-1.4,2,0,3.1,7.7,北西,10.9,西北西,北北西
2022/12/28,1,曇後みぞれ時々晴,雪時々曇一時晴,5.8,88,1012.3,1017.9,1013.3,74,0.2,2.34,0.5,0.5,4,-0.6,5,4,1.8,4.2,北西,6.3,北北西,北
2022/12/29,-3,雪時々曇一時晴,晴後雪一時曇,4.3,87,1009.5,1015.1,1012.8,65,2.3,5.45,12,1.5,-0.2,-6.5,23,18,3.8,10,西北西,15.5,西北西,西北西
2022/12/30,-2.8,雪時々曇,曇時々雪,4.3,87,1014.5,1020.1,1018.4,74,2.3,5.35,0.5,0.5,-0.7,-6.8,19,3,2.8,5.8,西北西,8.6,西北西,西北西
2022/12/31,0.9,曇,曇後雪時々みぞれ,4.8,75,1014.2,1019.7,1016.5,62,0.9,4.82,0,0,3.1,-2.7,17,0,2.8,6.7,西,10.8,西,西
2023/1/1,-0.8,雪時々曇、みぞれを伴う,雪,4.9,84,1008.5,1014,1012.3,58,1.3,4.65,3,0.5,2.9,-5.6,16,6,4,8.3,西北西,13.9,西北西,西北西
2023/1/2,-6.6,雪時々曇,雪,3.1,83,1008.9,1014.6,1012.7,56,1.8,5.91,4.5,0.5,-4.9,-7.9,22,8,4.7,10.3,西北西,15.7,西北西,西北西
2023/1/3,-6,雪,雪時々曇,3.5,89,1007.7,1013.3,1011.7,75,0.1,3.61,10.5,1,-4.5,-7.4,37,17,4,6.9,西,10.2,西北西,西北西
2023/1/4,-6.6,雪時々曇一時晴,雪時々晴,3.1,82,1008.5,1014.1,1011.5,64,2.2,5.59,2,0.5,-3.7,-10.6,35,1,3.8,8,西北西,13.2,西北西,西北西
2023/1/5,-3.2,雪時々曇一時晴,曇時々雪,3.8,79,1011.4,1017,1016,57,1.1,4.9,3.5,1,-1.3,-8.6,38,9,3.1,7,西北西,11.2,西,西北西
2023/1/6,-1.5,曇一時晴後時々雪,雪時々曇一時晴,4.2,77,1012,1017.6,1015.2,56,2.5,5.98,0.5,0.5,1.8,-3.8,31,0,2.5,6.5,西北西,9.6,西北西,西北西
2023/1/7,-2,晴,晴時々曇,4,77,1008.5,1014.1,1012.5,52,8.1,8.52,0,0,2.4,-6.7,27,2,1.7,3.4,北西,4.7,西北西,北西
2023/1/8,-2.1,晴,曇時々晴後雪,3.7,72,1012.7,1018.3,1015.5,50,8.1,8.96,0,0,3,-6.7,24,0,2.5,5.6,西北西,8.2,西北西,西北西
2023/1/9,-0.6,雪後みぞれ時々曇,晴,5,85,1008.3,1013.8,1010.3,67,1.9,5.11,3.5,0.5,3.4,-4.8,24,4,3.1,6.8,北北西,10.9,北西,北西
2023/1/10,-3.8,晴,晴後曇時々雪,3.1,68,1010.6,1016.2,1012.1,48,8.4,9.33,0,0,-0.2,-6.6,20,0,4.2,9.5,北西,13.1,北西,西北西
2023/1/11,0.7,曇時々雪一時みぞれ,曇時々晴、みぞれを伴う,5.3,81,1013.2,1018.8,1017.4,68,1.2,3.7,0.5,0.5,5.2,-5.5,20,1,2.3,4.9,西,7.2,西北西,北北東
2023/1/12,3.6,晴一時曇,晴後一時雨一時曇,5.9,75,1015,1020.5,1017.6,52,8,8.82,0,0,8,-0.6,17,0,2.8,5.5,西北西,7.8,西北西,西北西
2023/1/13,5.7,曇時々晴一時雨,雨一時曇,7.5,82,1010.4,1015.8,1009.9,57,3.8,6.47,0,0,11.5,-1,15,0,2.2,5.2,西,8,西南西,北北東
2023/1/14,3.3,雨後曇、みぞれを伴う,曇一時晴後雪,6.5,83,1003.8,1009.2,1007.3,63,0,2.55,6,1,5.1,0.7,11,0,3.3,7.8,北西,11.6,北西,北西
2023/1/15,-1.5,雪,雪後一時晴,5.1,93,1008.6,1014.2,1011.4,64,0,2.71,14,1,0.8,-2.1,40,33,2.2,5.1,東,9.1,東,東
2023/1/16,-2.4,晴後曇一時雪,晴後曇一時雪,3.8,73,1007.6,1013.1,1010.4,54,5.9,8.78,5.5,1,0.9,-6.5,43,3,4.5,7.3,北西,11,北西,北西
2023/1/17,-4.9,曇時々雪一時晴,曇後一時雪,3.3,79,1016,1021.7,1018.2,62,1.9,6.24,0,0,-2.2,-7,34,0,2.4,8,西北西,10.4,西北西,西北西
2023/1/18,-3.8,曇時々晴一時雪,晴後時々曇,3.4,73,1014.3,1019.9,1017.1,56,3.5,7.5,0,0,0.6,-7.6,29,0,3,8.1,北西,12.6,北北西,北西
2023/1/19,-3.2,晴後雪時々曇,雪後時々みぞれ時々曇一時晴,3.9,77,1015.5,1021.2,1015.1,50,5.2,7.52,1.5,0.5,1.2,-9.8,26,2,2.2,3.9,東,6.3,東北東,東
2023/1/20,0.8,晴後曇一時雪,曇時々みぞれ後雪一時晴,5.2,80,1003.7,1009.2,1001,49,4.6,6.86,9,1,2.9,-1.9,35,11,3.6,8.2,東南東,12.6,東南東,東
2023/1/21,-3.8,雪時々曇一時晴,雪一時曇後時々晴,3.6,77,1013.6,1019.2,1001.8,53,5,8.74,1.5,0.5,0.1,-7,35,3,6,12,北西,17.9,西北西,西北西
2023/1/22,-6.9,雪時々曇一時晴,晴時々雪,3,82,1019.1,1024.9,1023.3,68,4.3,7.86,1,0.5,-3.3,-11.6,34,2,2.7,7.1,西北西,11.3,西北西,西北西
2023/1/23,-5.2,晴後曇時々雪,雪後曇時々晴,3.3,77,1012.3,1017.9,1004.7,49,3.4,6.55,5,1.5,0.2,-11.4,39,8,3.1,11.5,西,16.4,西,東北東
2023/1/24,-7.9,曇時々雪,晴時々雪一時曇,2.6,72,998.8,1004.4,1002,57,0,4.81,1,0.5,-3,-13,37,0,4.3,9.7,北西,14.4,北西,北西
2023/1/25,-10.6,雪時々曇,雪,2,73,999.6,1005.3,1002.8,50,0.9,5.71,7,0.5,-8.7,-13.1,44,12,6.4,11.9,西北西,18.4,西北西,西北西
2023/1/26,-6.5,曇後雪時々晴,雪時々曇後晴,2.7,73,1006.4,1012,1007.9,55,3.4,8.02,3,0.5,-4,-9.2,47,3,5.4,10.7,西北西,18.1,北西,西北西
2023/1/27,-6.7,曇時々雪一時晴,晴後雪一時曇,3,81,1003.6,1009.2,1005,60,1,6.87,0,0,-2.7,-10.4,40,0,2.2,4,北西,5.7,北西,北北西
2023/1/28,-8.1,雪,雪時々曇,2.8,84,999.6,1005.2,1003.5,66,1.3,6.71,3.5,0.5,-6.2,-10.2,43,7,4.3,9.3,西,13.8,西,西北西
2023/1/29,-9,雪時々曇一時晴,晴,2.4,78,1006.5,1012.2,1007.4,63,5.7,8.79,1.5,0.5,-6.3,-11.4,43,1,3.2,7.5,西,11,西,西北西
2023/1/30,-6.4,曇時々晴,雪時々晴一時曇,2.9,75,1006.2,1011.9,1009.1,52,5,8.09,0.5,0.5,-1.9,-12.7,39,2,2.2,6.2,西北西,10.3,西北西,北北西
2023/1/31,-5.3,雪時々曇,雪時々曇,3.4,82,1009.3,1015,1012.4,53,2.8,7.68,1.5,0.5,-2.7,-7.9,40,4,3.4,10.2,西北西,15.2,西北西,西北西
2023/2/1,-1.5,曇後雪時々みぞれ一時雨,曇一時雪後晴、みぞれを伴う,4.9,88,1000.5,1006,996.3,71,0.2,3.1,10.5,1.5,3.1,-6.9,47,10,3.9,12.9,北西,19.1,北西,東
2023/2/2,-5,雪時々晴,雪時々曇,3.1,74,1008.3,1013.9,1004,52,5.2,8.95,0,0,-0.9,-8.8,44,2,5.6,10.5,西,16.2,西北西,西北西
2023/2/3,-6,雪時々曇,曇時々雪,3.2,81,1013.2,1018.9,1017.9,63,4.2,8.8,1,0.5,-3.2,-9.9,43,2,2.4,6.5,西北西,10.1,西,西
2023/2/4,-4.2,雪後曇時々晴,晴時々雪一時曇,3.5,77,1011.9,1017.5,1015.4,63,4.7,9.56,0,0,-1,-7.1,41,0,2.2,5.3,西北西,7.8,西北西,西北西
2023/2/5,-3.3,晴時々雪一時曇,雪後一時みぞれ一時曇,3.9,81,1014.7,1020.3,1018.6,54,5.9,9.99,0.5,0.5,1.2,-8.8,42,4,2.7,7.4,西,10.5,西,西北西
2023/2/6,0.1,晴時々曇,晴後時々雪一時曇,5,82,1013,1018.6,1016.7,55,7.2,10.21,2,1,3.5,-3.9,44,3,2.3,5,北西,8.8,北西,西
2023/2/7,-2.2,晴,晴時々曇,3.6,70,1015.8,1021.4,1019.4,43,9.1,11.64,0,0,2,-7.6,40,1,2.5,6.1,西,8.4,西,北西
2023/2/8,-4.1,晴後曇一時雪,晴時々雪,3,67,1014,1019.6,1017.6,42,7.3,11.67,0,0,1.1,-8.9,39,1,1.8,5,北北西,7.3,北北西,北北西
2023/2/9,-5.2,晴後時々曇,晴一時曇,2.8,69,1019.6,1025.3,1019.2,41,5.4,10.61,0,0,-1.7,-8.3,39,0,3.2,7.4,北北西,11.6,北西,西北西
2023/2/10,-3.2,曇後一時雪,曇時々雪後晴,3.6,73,1020.1,1025.7,1019.8,51,0,5.8,0,0,0,-9.1,38,0,2.5,5.5,東北東,8.7,東,東
2023/2/11,0.3,晴後曇一時雪、みぞれを伴う,曇時々晴後雪、みぞれを伴う,5.1,82,1015.8,1021.4,1019.4,60,3.7,9.81,0,0,4.1,-4.9,38,0,1.7,3.8,西,5.5,西,西北西
2023/2/12,1.4,曇時々みぞれ,曇一時晴,5.6,82,1013.7,1019.2,1017.4,65,3.2,8.86,4.5,1,4.3,-1.7,38,4,2.9,7.1,西,10.6,西北西,北北西
2023/2/13,-0.7,曇後晴時々雪,晴,4.5,79,1008.3,1013.9,1010,56,3.1,8.18,0,0,2.9,-3.8,33,1,2.2,5.9,北西,9.2,北西,北西
2023/2/14,-3.3,晴後曇一時雪,雪時々曇後晴,3.5,74,1003.5,1009.1,1005.7,43,5.8,10.71,4.5,1,-0.3,-5.6,42,11,3.2,5.6,北西,8.2,西,北西
2023/2/15,-6.3,晴一時雪後曇,晴時々雪,2.7,71,1014.9,1020.6,1013.8,45,7.9,12.4,0,0,-2.5,-10.2,42,0,3.1,6.4,北西,9.2,北西,北西
2023/2/16,-4.7,雪時々曇一時晴,曇時々晴一時雪,3.4,76,1020.3,1026,1024.8,58,4.6,10.77,0,0,0,-11.2,38,0,3.1,9,西,14,西北西,西
2023/2/17,1.3,曇一時雪後みぞれ,みぞれ時々曇一時晴,5.6,84,1016.9,1022.4,1019.5,60,1.3,7.62,1.5,0.5,5.2,-2.7,36,0,2.4,5.8,西,8.2,西南西,西
2023/2/18,3.8,晴,曇一時晴,5.3,68,1013.5,1019,1015.7,37,8.9,13.46,0,0,7.8,0.8,32,0,3,8.3,西,11.9,西,西
2023/2/19,1.7,曇後みぞれ一時雨,みぞれ一時雨後雪時々曇,5.9,86,1000.7,1006.1,998.2,61,0,5.17,3,1,4.7,0.5,30,2,2,7,南東,11.3,南東,東南東
2023/2/20,-2.6,雪時々曇一時晴,晴後一時雪,3.9,76,1002.8,1008.3,998.3,60,2.2,8.52,2,1,1.2,-5.5,33,3,5.3,9.7,北西,14.7,北西,北西
2023/2/21,-3.9,晴後曇時々雪,晴後一時雪,3.3,73,1014.8,1020.4,1015,48,5.7,11.48,0,0,-0.3,-6.5,31,0,4,6.4,北西,10.2,北西,北西
2023/2/22,-3,雪時々曇一時晴,雪,4,81,1020.7,1026.4,1023.9,50,4,11.71,1.5,0.5,1.4,-8.8,35,8,3.1,7.7,西北西,10.9,西北西,西
2023/2/23,1.2,曇一時晴後雨時々みぞれ,晴時々曇,5.9,89,1012.9,1018.5,1015.4,71,2.6,8.19,2.5,1,5.3,-1.9,35,0,2.3,6.9,西南西,11,西南西,西南西
2023/2/24,0.2,晴後一時雪一時曇,雪時々晴一時曇,4.4,73,1012,1017.6,1016,42,8.2,14.6,0.5,0.5,4.5,-4.9,29,2,2,3.8,南南東,6.1,南南西,北
2023/2/25,-1.1,晴時々曇一時雪,晴後雪時々曇,4.3,76,1012.8,1018.4,1015.9,50,7.8,14.99,0.5,0.5,2.2,-4.9,30,1,4,9.1,西,13.3,西,北西
2023/2/26,-3.6,曇後雪時々晴,晴時々雪,3.5,74,1017.6,1023.2,1020,47,6.5,11.67,2.5,0.5,-0.3,-6.7,30,2,3.9,9.3,北西,15.6,北,北西
2023/2/27,1.5,晴一時曇,晴,4.5,63,1021.6,1027.2,1024.1,48,9.4,15.32,0,0,7.2,-8.7,28,0,4.1,10,西,15.4,西,西
2023/2/28,8.1,晴時々曇一時雨,曇時々晴,6.8,64,1012.8,1018.2,1012.9,47,6.3,13.21,0,0,11.3,4.7,24,0,4.9,8.8,西,15.6,西,西
2023/3/1,6.2,晴時々曇,みぞれ時々曇,6,64,1008.9,1014.3,1012.4,43,6.3,12.79,0,0,9.2,1.6,12,0,3.8,8,西,12.4,西,西北西
2023/3/2,1.6,晴時々曇,晴後時々雪,4.7,70,1008.3,1013.8,1010.7,41,7,14.24,1,0.5,5.1,-1.8,8,1,3.7,8.8,北西,13.1,北北西,北西
2023/3/3,0.4,雪時々晴一時曇,雪時々曇後みぞれ一時晴,4.9,79,1015.1,1020.7,1018.6,36,4.7,12.86,5,1.5,4.3,-2.9,13,11,3.1,11,西北西,15.9,西,北西
2023/3/4,0.5,晴後時々曇,晴,4.6,74,1019.1,1024.7,1020.6,47,5.3,11.74,0,0,5.1,-3.4,12,0,3.2,8.8,西,12.8,西,西北西
2023/3/5,1.3,晴,晴,4.4,66,1021.3,1026.9,1024.9,44,10.8,16.85,0,0,7.4,-5.3,7,0,3.2,7.8,西北西,10.6,西北西,西
2023/3/6,4.8,曇一時雨,曇時々晴,6.7,77,1015.9,1021.4,1018.7,65,1.2,8.93,0,0,9,-0.5,2,0,3.3,8.2,南西,12.6,南西,南西
2023/3/7,6.7,曇時々雨,晴後時々曇,8.3,84,1011.9,1017.4,1015.8,73,0.2,4.69,0,0,10.3,1.9,0,0,2.6,7.2,南西,10.3,南西,南西
2023/3/8,7.2,曇時々晴一時雨,晴時々曇,8.6,84,1011,1016.4,1013.1,69,1.6,7.57,0,0,13.2,1,0,0,3.5,7.7,南西,12.3,南西,南西
2023/3/9,4,曇時々晴,雨時々曇,6.9,85,1015.2,1020.7,1017.5,50,1.5,6.12,0,0,7.2,0.6,0,0,4.1,7.4,東南東,11.6,東南東,東
2023/3/10,6.4,雨後曇,晴時々曇,8.4,86,1011.3,1016.7,1013.4,70,1.5,5.77,10,1,11,2.8,0,0,4.8,7.5,西,11.4,西,東南東
2023/3/11,4.9,晴,晴一時曇,5.9,70,1021.4,1026.9,1023.7,47,10.3,16.38,0,0,10.1,1.6,0,0,4.2,8.1,北西,12.6,北西,西北西
2023/3/12,5.2,晴後一時曇,曇一時晴,7.1,81,1019.1,1024.6,1017.9,60,8.1,13.82,0,0,10.3,0.1,0,0,4.7,9.1,東,14.1,東南東,東南東
2023/3/13,6.7,雨時々曇,曇一時晴後時々雪,7.8,76,1007.2,1012.6,1008.4,52,0,1.81,4,0.5,11.1,1.2,0,0,6.4,10.4,南西,18.6,西南西,西
2023/3/14,2.7,曇時々晴,晴,3.8,52,1018,1023.6,1018.2,36,7.3,15.72,0,0,6.6,-0.6,0,0,3.2,5.9,西北西,8.9,西,西北西
2023/3/15,4.7,晴後時々曇,晴時々曇,5.4,63,1021.7,1027.2,1025,36,10.2,17.36,0,0,11.2,-1.4,0,0,3.7,7.1,東,10,東,東
2023/3/16,4.8,雨時々曇,晴一時雪後曇,6.7,77,1015.4,1020.9,1017.2,63,0.2,2.77,2,0.5,8.8,1,0,0,3,6.7,西,9.6,西,西
2023/3/17,3,曇時々晴一時雪、みぞれを伴う,晴,4.2,57,1016.5,1022,1020.3,36,3.9,11.83,0,0,7.3,-1.5,0,0,4.6,11.7,西,19.1,西南西,西
2023/3/18,2.9,晴時々曇,晴一時曇,4.3,59,1011.5,1017,1013.4,33,7.9,16.42,0,0,8.8,-2.3,0,0,2.9,7.2,西北西,10.3,西,西北西
2023/3/19,5.3,晴,晴,4.6,55,1008.5,1013.9,1012.6,23,10.6,19.78,0,0,11.1,-1.7,0,0,4.3,10.2,西,16.7,西,西
2023/3/20,8.3,晴,晴一時曇,5.5,53,1010.8,1016.2,1014.6,21,11.5,20.25,0,0,14.5,2,0,0,3.6,7.7,南西,11.1,南西,西北西
2023/3/21,8.7,晴,晴,6.1,59,1011.5,1016.8,1015.1,23,11.2,20.06,0,0,15.1,2.2,0,0,2.1,4.3,南南東,5.9,南南東,南
2023/3/22,9.5,晴,曇時々晴,8.1,68,1012.3,1017.7,1016.3,53,10.5,19.06,0,0,15.6,3.3,0,0,1.7,4,東南東,6,南東,南南東
2023/3/23,10.8,晴時々曇,雨時々曇,10.2,79,1006,1011.3,1003.1,59,8.4,15.83,2,0.5,16.2,5.6,0,0,1.6,4.2,西北西,5.6,西北西,西北西
2023/3/24,7.5,晴時々曇,晴時々曇,6.6,62,1004,1009.4,1000.3,25,9.2,18.79,1,0.5,11.9,0.4,0,0,5.9,10.3,北北西,16.9,北,北北西
2023/3/25,3.9,晴時々曇,曇時々晴,5.2,64,1015.2,1020.7,1019.2,44,7.6,17.65,0,0,9.6,-1.6,0,0,2.1,4.6,南南東,7,南南東,南東
2023/3/26,5.6,雨時々曇,雨後曇時々晴,7.9,87,1010,1015.4,1009.5,70,0,4.26,13.5,1,9.4,2.5,0,0,3.9,9,東南東,13.9,東南東,北西
2023/3/27,5,晴後曇一時雨、みぞれを伴う,晴,5.1,60,1010.4,1015.8,1008.9,29,8.4,16.48,0.5,0.5,9.4,0.5,0,0,6,13,西,19.2,西,西
2023/3/28,5,晴,晴,4.8,58,1019.5,1025,1023.3,21,11.9,21.64,0,0,11.2,-0.8,0,0,2.9,6.5,西北西,8.7,西,南西
2023/3/29,4.8,曇時々晴後雨,晴,6.4,75,1018.6,1024.1,1022.4,56,4.5,12.67,0,0,10.7,-0.5,0,0,2,6.6,西北西,9.1,北西,北北東
2023/3/30,7.6,晴,曇時々晴,7.6,74,1015,1020.4,1018.1,37,9,18.09,0,0,13.3,1.7,0,0,2.9,6.4,西南西,9.2,西南西,東北東
2023/3/31,7.6,雨時々曇後晴,晴,7.8,75,1010.2,1015.6,1013.3,46,5.4,12.11,4.5,1.5,13.9,3,0,0,2.9,7.5,西,10.8,西,北東
2023/4/1,6.1,晴,晴,5.5,61,1013.8,1019.3,1016.5,31,12.2,22.71,0,0,12.7,0.5,0,0,5.1,10.7,北西,14.3,北西,北西
2023/4/2,5.3,晴,晴,6.4,73,1017.7,1023.2,1021.6,50,10.1,19.51,0,0,10.6,0.6,0,0,2.5,5.7,南東,8,南東,北北東
2023/4/3,6.6,晴,晴,7.2,75,1019.5,1024.9,1024,55,12,22.34,0,0,12.4,0.4,0,0,1.7,3.6,南南東,5.6,南南東,南南東
2023/4/4,9.6,晴後時々曇,曇,6.3,56,1017.9,1023.2,1021.1,23,10.3,20.47,0,0,17.2,2.2,0,0,2.9,7.5,西北西,11.6,西,西北西
2023/4/5,11.6,曇,曇後時々雨,8,59,1015,1020.3,1017.7,33,1.2,11.54,0,0,15.1,8.8,0,0,2.6,4.5,南東,6.1,南南東,東南東
2023/4/6,12.1,雨時々曇,雨時々曇,11.8,83,1006,1011.3,1007.3,56,0,5.05,2,1,16.5,9.2,0,0,2.9,7.4,南西,11.9,南南西,南南西
2023/4/7,11.1,雨,曇時々雨,12.5,94,1000.3,1005.6,1003.4,85,0,2.89,14.5,1.5,13.4,8.6,0,0,2.7,5.4,南南西,9.2,南南西,西北西
